"codigo","descripcion","um"
"LA41054/110","TENAZA ARM MEDIO CORTE TRAM 10","UN"
"LA41054/112","TENAZA ARM MEDIO CORTE TRAM 12","UN"
"LA41066/110","PINZA PICO LORO TRAMONTINA 10""","UN"
"LA41070/110","PINZA GRIP BOCA RECTA TRAM. 10""","UN"
"LA41071/110","PINZA GRIP BOCA CURVA TRAM. 10""","UN"
"LA411/2","CURVA 45 H/H TUPY 1/2""","UN"
"LA4111/4","CURVA 45 H/H TUPY 1.1/4""","UN"
"LA41110/506","DEST.EN JGO.TRAMONTINA(6x1)","UN"
"LA412","REMACHE POP 4X12-5/32X1/2""","UN"
"LA413/4","CURVA 45 H/H TUPY 3/4""","UN"
"LA414","REMACHE POP 4X14-5/32X9/16""","UN"
"LA0926135","ANZUELO MUSTAD - 92611/2","UN"
"LA0926144","ANZUELO MUSTAD - 92611/11","UN"
"LA42241/208","LLAVE COMB.EN JGO.TRAM. 8-17/8PS","JGO"
"LA42241/212","LLAVE COMB.EN JGO.TRAM. 6-22/12PS","JGO"
"LA42241/215","LLAVE COMB.EN JGO.TRAM. 6-32/15PS","JGO"
"LA42241/217","LLAVE COMB.EN JGO.TRAM. 6-22/17PS","JGO"
"LA42246/106","LLAVES COMB. TRAMONTINA 6 MM","UN"
"LA42246/107","LLAVES COMB.TRAMONTINA 7MM","UN"
"LA42246/108","LLAVES COMB.TRAMONTINA 8MM","UN"
"LA42246/109","LLAVES COMB. TRAMONTINA 9MM","UN"
"LA42246/110","LLAVES COMB.TRAMONTINA 10MM","UN"
"LA42246/111","LLAVES COMB.TRAMONTINA 11MM","UN"
"LA42246/112","LLAVES COMB.TRAMONTINA 12MM","UN"
"LA42246/113","LLAVES COMB.TRAMONTINA 13MM","UN"
"LAVARIOS-UNIF","VARIOS UNIFORMES","UN"
"LADESC-ZOBQ","DESCUENTO PROMOCIONAL","UN"
"LA62616","TUERCA NIVELADOR BOLSA DE 50 PS","UN"
"LA43141/004","MECHA TRAM.HSS 1,5mm-L-40mm","UN"
"LA43141/006","MECHA TRAM.HSS 2mm-L-49mm","UN"
"LA43141/009","MECHA TRAM.HSS 2,5mm-L-57mm","UN"
"LA43141/013","MECHA TRAM.HSS 3mm-L-61mm","UN"
"LA43141/019","MECHA TRAM.HSS 3,5mm-L-70mm","UN"
"LA43141/022","MECHA TRAM.HSS 4mm-L-75mm","UN"
"LA43141/027","MECHA TRAM.HSS 4,5mm-L-80mm","UN"
"LA43141/029","MECHA TRAM.HSS 5mm-L-86mm","UN"
"LA43141/032","MECHA TRAM.HSS 5,5mm-L-93mm","UN"
"LA43141/033","MECHA TRAM.HSS 6mm-L-93mm","UN"
"LA43141/034","MECHA TRAM.HSS 6,5mm-L-101mm","UN"
"LA43141/036","MECHA TRAM.HSS 7mm-L-109mm","UN"
"LA600107","MATERIAL BLOQUEADO","UN"
"LA600115","MATERIAL BLOQUEADO","UN"
"LALEDTA7W-6500K","MATERIAL BLOQUEADO","UN"
"LA43148/123","MECHA TRAM.SDS-PLUS 12mm-L-160mm","UN"
"LA63701MLFA","CHAPA ACAN.PP AZU 0,40x1,10(METRO)","M"
"LA6370209FA","CHAPA TRAP.PP AZU 0,40x1,10x5,50","UN"
"LA6380206FA","CHAPA TRAP.PP VER 0,40x1,10x4,88","UN"
"LA6390205FA","CHAPA TRAP.PP CER 0,40x1,10x4,27","UN"
"LA65902MLFA","CHAPA TRAP.PP VER 0,40x1,10(METRO)","M"
"LA3003146FA","CHAPA LISA ALUM 2,0MM(2X1)","UN"
"LA30033MLFA","CHAPA LISA ALUM 1,0mm(METRO)","M"
"LA6200415FA","CHAPA LISA AZ.0,15MM(1X2)","UN"
"LA6200430FA","CHAPA LISA AZ.0,30MM(1X2)","UN"
"LA6200233FAA","CHAPA NEG.LISA 4,0MM(1,2x3,0)113,4K","UN"
"LA6220306FA","CHAPA TRAP.0,30x1,10x4,88-13,6KG","UN"
"LA01615722","RESISTENCIA 220V-4000W FAME","UN"
"LA43148/130","MECHA TRAM.SDS-PLUS 14mm-L-160mm","UN"
"LA451671000","REMACHE CISER 4,8x25-3/16x1","UN"
"LA451672000","REMACHE CISER 4,8x30-3/16x1.3/16","UN"
"LA451862000","REMACHE CISER 6,2x12-1/4x1/2","UN"
"LA451864000","REMACHE CISER 6,2x14-1/4x9/16","UN"
"LA451866000","REMACHE CISER 6,2x16-1/4x5/8","UN"
"LA451868000","REMACHE CISER 6,2x19-1/4x3/4","UN"
"LA451870000","REMACHE CISER 6,2x22-1/4x7/8","UN"
"LA451871000","REMACHE CISER 6,2x25-1/4x1","UN"
"LA451872000","REMACHE CISER 6,2x30-1/4x1.3/16","UN"
"LA451874000","REMACHE CISER 6,2x35-1/4x1-3/8","UN"
"LA44009","ROD.ROMA ESPUMA 440 9CM M/METAL","UN"
"LA44015","ROD.ROMA ESPUMA 440 15CM M/METAL","UN"
"LA44023","ROD.ROM.ESP.440 23CM C/M METAL","UN"
"LA4403","VEDAPREN PAREDE 3,6 KG","UN"
"LA4418","VEDAPREN PAREDE 18 KG","UN"
"LA4425-0111","ZARANDA CID105 (102,5x0,8MM)","UN"
"LA44315800","BULON C.FREZADA1/4X3/4 INOX.","UN"
"LA44326200","BULON C.FREZADA3/8X1.1/2 INOX","UN"
"LA4510","BROCHA MAX REDONDA BLANCO","UN"
"LA451305000","REMACHE CISER 3,2x6-1/8X1/4","UN"
"LA451307000","REMACHE CISER 3,2x8-1/8X5/16","UN"
"LA451310000","REMACHE CISER 3,2x10-1/8x3/8","UN"
"LA451312000","REMACHE CISER 3,2x12-1/8x1/2","UN"
"LA451314000","REMACHE CISER 3,2x14-1/8x9/16","UN"
"LA451316000","REMACHE CISER 3,2x16-1/8x5/8","UN"
"LA451318000","REMACHE CISER 3,2x19-1/8x3/4","UN"
"LA451320000","REMACHE CISER 3,2x22-1/8x7/8","UN"
"LA451321000","REMACHE CISER 3,2x25-1/8x1","UN"
"LA451505000","REMACHE CISER 4,0x6-5/32x1/4","UN"
"LA451507000","REMACHE CISER 4,0x8-5/32x5/16","UN"
"LA451510000","REMACHE CISER 4,0x10-5/32x3/8","UN"
"LA451512000","REMACHE CISER 4,0x12-5/32x1/2","UN"
"LA451514000","REMACHE CISER 4,0x14-5/32x9/16","UN"
"LA451876000","REMACHE CISER 6,2x40-1/4x1-1/2","UN"
"LA452.001","LLANA PL. ESP FAMASTIL 27X17CM","UN"
"LA452.002","LLANA PL. ESP FAMASTIL 22X12CM","UN"
"LA4522","AZAD.BELLOTO RECTA 21/2Lbs257A","UN"
"LA453.001","LLANA PL.FRISADO FAMASTIL 27X14CM","UN"
"LA453.002","LLANA PL.FRISADO FAMASTIL 16X8CM","UN"
"LA457.001","LLANA METAL DENT.AB.FAM 26X12C","UN"
"LA45734623491","CABLE ACOPLE 150Ax3,65M (ORG)","UN"
"LA459.010","ESCUADRA PLAST.FAMASTIL 459-10","UN"
"LA459.012","ESCUADRA PLAST.FAMASTIL 459-12","UN"
"LA459.014","ESCUADRA PLAST.FAMASTIL 459-14","UN"
"LA460010","ESCUADRA FAMASTIL NRO.10 M/MET","UN"
"LA460012","ESCUADRA FAMASTIL NRO.12 M/MET","UN"
"LA43156/305E","CINTA METRICA TRAMONTINA 5MTS","UN"
"LA43156/375E","CINTA METRICA TRAMONTINA 7,5M","UN"
"LA43180/001","PLOMADA P/ALBANIL CHATO TRAM.500 GR.","UN"
"LA43181/501E","PLOMADA ALBANIL PUNTA TRAM 400GR","UN"
"LA43301/012","ARCO P/SIERRA TRAMONTINA 4912","UN"
"LA43606/110","MANIJA T DESL.TRAM.MAST.10""1/2","UN"
"LA43607/110","PROLONGADOR LARGO1/2X10 TRAM.MASTER","UN"
"LA43608/110E","MANIJA C/CRIQUE TRAM.10""","UN"
"LA43610/022E","JGO.LLAVE TUB.HEX.TRAM 1/2 22PZ","JGO"
"LA43980/079","EXHIBIDOR P/MECHAS TRAMONTINA","UN"
"LA4400","GRASA CADENA P/MOTO 440cc ACEITEX","UN"
"LA44005","ROD.ROMA ESPUMA 440 5CM M/METAL","UN"
"LA451516000","REMACHE CISER 4,0x16-5/32x5/8","UN"
"LA451518000","REMACHE CISER 4,0x19-5/32x3/4","UN"
"LA451520000","REMACHE CISER 4,0x22-5/32x7/8","UN"
"LA451521000","REMACHE CISER 4,0x25-5/32x1","UN"
"LA451657000","REMACHE CISER 4,8x8-3/16x5/16","UN"
"LA451660000","REMACHE CISER 4,8x10-3/16x3/8","UN"
"LA451662000","REMACHE CISER 4,8x12-3/16x1/2","UN"
"LA451664000","REMACHE CISER 4,8x14-3/16x9/16","UN"
